准备|Zhǔnbèi|To prepare
棒|Bàng|Very good; excellent
跑|Pǎo|To run
散步|Sànbù|To take a walk
跑步|Pǎobù|To run; to jog
劲儿|Jìnr|Strength
出|Chū|To come out
汗|Hàn|Sweat
基础|Jīchǔ|Base; foundation
只好|Zhǐhǎo|To have no choice but to
努力|Nǔlì|Hardworking; putting in effort
快要|Kuàiyào|Is going to happen soon
接|Jiē|To answer the phone; to receive
电|Diàn|Electricity
用功|Yònggōng|Diligent; hardworking
快|Kuài|Is going to happen soon
可能|Kěnéng|Might; maybe; perhaps
出发|Chūfā|To start out
考虑|Kǎolǜ|To think over; to consider
明信片|Míngxìnpiàn|Postcard
放假|Fàngjià|To go on break; to start a holiday
假期|Jiàqī|Holiday; vacation period
旅行|Lǚxíng|To travel
决定|Juédìng|To decide
办法|Bànfǎ|Way; means; approach
亲戚|Qīnqi|Relative; family relation
整整|Zhěngzhěng|The whole; the entire
邮局|Yóujú|Post office
圣诞节|Shèngdàn Jié|Christmas
新年|Xīnnián|New Year
寄|Jì|To mail; to send
贺卡|Hèkǎ|Greeting card
再|Zài|Then
刚才|Gāngcái|Just now; a moment ago
邮票|Yóupiào|Stamp
排队|Páiduì|To stand in line
